제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
落泉登雲 硏究,손태현,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902483,,KDC 813,포함
金昌協의 文學批評論,김영진,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901685,,KDC 810,포함
四溟大師 惟政의 詩文學攷,김학봉,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901686,,KDC 811,포함
退溪 李滉의 詩文學攷,조철제,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901688,,KDC 811,포함
해방직후 단편소설 연구,이우용,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902254,,KDC 813,포함
F. Mauriac의 주인공과 식물적 상상력,소윤애,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902659,,KDC 863,포함
燕巖 朴趾源의 小說硏究,김영동,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901466,,KDC 813,포함
韓國 現代詩에 나타난 自我意識에 관한 硏究,이상호,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901492,,KDC 811,포함
黃順元의 初期作品 硏究,이운기,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902301,,KDC 813,포함
D.H. Lawrence의 Sons and lovers 硏究,안상인,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902408,,KDC 843,포함
Jerzy Kosinski小說에 나타난 生存의 主題硏究,홍의경,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902636,,KDC 843,포함
朴趾源의 文學世界 考,권기순,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901511,,KDC 810,포함
G.Kaiser의 劇作理念 ‘새로운 인간’ 硏究,박진석,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901514,,KDC 852,포함
(The)Tragic vision of life in Eugene O’Neill,도재관,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901515,,KDC 842,포함
(The)Tempest 硏究,강희경,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901516,,KDC 842,포함
T.S.Eliot의 詩에 있어서의 救援의 摸索,최영호,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901517,,KDC 841,포함
懷月 朴英熙文學 硏究,김승권,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902083,,KDC 810,포함
John Donne의 詩에 있어서 比喩的 言語의 使用,김용근,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902086,,KDC 841,포함
Emily Dickinson의 詩에 나타난 인생관에 대한 연구,박수봉,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902169,,KDC 841,포함
William Wordsworth의 자연관 및 인간관,한명희,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198902556,,KDC 841,포함
Anna Seghers의 초기소설 에 있어서 리얼리즘의 가능성과 한계,김세용,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901742,,KDC 853,포함
Gunter Grass의 연구,김누리,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198901743,,KDC 853,포함
