제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
2016년도 언니·오빠와 함께 읽는 영어그림책 자원봉사자 최종 선발 알림,정혜연,동화,,발표 시기 미상,,,,포함
[국립국악원] 2016 국악동화 서포터즈 모집,박재민,동화,,발표 시기 미상,,,,포함
2월 작가와 함께 그림책 읽는 아이 운영 안내,박재민,동화,,발표 시기 미상,,,,포함
『언니·오빠와 함께 읽는 영어 그림책』 자원봉사자 모집 안내,어린이자료실,동화,,발표 시기 미상,,,,포함
도서관 밖 독서프로그램 '작가와 함께 그림책 읽는 아이' 운영 안내,박재민,동화,,발표 시기 미상,,,,포함
「그림책 이야기_서울」 워크숍 참가신청 안내,전해은,동화,,발표 시기 미상,,,,포함
누리집에서 팝업창 오류 시 조치 방법 안내,강희정,시,,발표 시기 미상,,,,포함
「그림책 이야기_부산」 워크숍 참가신청 안내,전해은,동화,,발표 시기 미상,,,,포함
2015년 공공도서관 체험형 동화구연 체험관 조성지원사업 지원대상기관 선정 결과 알림,김선미,동화,,발표 시기 미상,,,,포함
다국어동화구연 온라인 서비스 일시중단 안내(19.1.28),강희정,동화,,발표 시기 미상,,,,포함
2019년 체험형 동화구연 강사채용 최종합격자 공고,이수경,동화,,발표 시기 미상,,,,포함
2015년 언니오빠와 함께 읽는 영어그림책 자원봉사 최종 선발자 안내,국어청,동화,,발표 시기 미상,,,,포함
2019년도 체험형 동화구연 강사 채용 공고,강희정,동화,,발표 시기 미상,,,,포함
「2015년 영어그림책 스토리 타임」 프로그램 안내,전고운,동화,,발표 시기 미상,,,,포함
「2015년 언니·오빠와 함께 하는 영어그림책」프로그램 안내,전고운,동화,,발표 시기 미상,,,,포함
「2015년 사서와 함께 하는 동화구연」프로그램 안내,전고운,동화,,발표 시기 미상,,,,포함
『언니·오빠와 함께 읽는 영어 그림책』프로그램 자원봉사자 모집 안내,전고운,동화,,발표 시기 미상,,,,포함
체코작가 라덱 필라르즈와 함께 하는 그림책 이야기,채송아,동화,,발표 시기 미상,,,,포함
2019년 체험형 동화구연 강사 서류전형 합격자 및 면접시험 공고,이수경,동화,,발표 시기 미상,,,,포함
2014년 워크숍 참가대상자 명단 알림,이진아,소설,,발표 시기 미상,,,,포함
2018년 10월 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
꿈다락 토요문화 학교: 연극으로 읽는 동화 6기 모집,전고운,동화,,발표 시기 미상,,,,포함
2018년 8월 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
꿈다락토요문화학교: 연극으로 읽는 동화 4기 모집,차경복,동화,,발표 시기 미상,,,,포함
삶을 가꾸는 '그림책 독회' 모임 안내,김지연,동화,,발표 시기 미상,,,,포함
체험형 동화구연 신규 콘텐츠 운영계획 안내,멀티미디어실,동화,,발표 시기 미상,,,,포함
2018년 9월 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
2014년 7월 모임 안내,김지연,동화,,발표 시기 미상,,,,포함
2014년 6월 모임 안내,김지연,동화,,발표 시기 미상,,,,포함
한국아동청소년문학학회 2014 여름학술대회 안내,이경희,소설,,발표 시기 미상,,,,포함
『2018년 체험형 동화구연 워크숍』 참가자 명단,이수경,동화,,발표 시기 미상,,,,포함
2018년 3월 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
2014년 체험형 동화구연 체험관 조성지원사업 대상기관 선정 결과 알림,이정화,동화,,발표 시기 미상,,,,포함
2018년 4월 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
2014 꿈다락 토요문화학교: 연극으로 읽는 동화 2기 모집 안내,차경복,동화,,발표 시기 미상,,,,포함
2018년 『체험형 동화구연』 워크숍 개최 및 참가신청 안내,이수경,동화,,발표 시기 미상,,,,포함
2014년 『꿈다락 토요문화학교 : 연극으로 읽는 동화』 1기 모집 안내,차경복,동화,,발표 시기 미상,,,,포함
전시 안내,김민정,동화,,발표 시기 미상,,,,포함
전시 연계 강연회 개최 안내,김민정,동화,,발표 시기 미상,,,,포함
2014년 사서와 함께하는 동화구연 모집 안내,차경복,동화,,발표 시기 미상,,,,포함
2018년 1월 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
12월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
안내,이경희,동화,,발표 시기 미상,,,,포함
전시 연계 강연회 참가 명단 알림,김민정,동화,,발표 시기 미상,,,,포함
(그림책 작가와의 만남) 요안나 콘세이요와 그림 정원을 거닐다,안인덕,동화,,발표 시기 미상,,,,포함
11월 '작가와 함께 그림책 읽는 아이' 운영 안내,이수경,동화,,발표 시기 미상,,,,포함
사서를 위한 그림책 강좌 안내,이경희,동화,,발표 시기 미상,,,,포함
상상하는 대로 이루어지는 판타지 독서퀴즈 당첨자 발표입니다.,김애란,소설,,발표 시기 미상,,,,포함
『사서와 함께 하는 동화구연』안내,성미현,동화,,발표 시기 미상,,,,포함
