제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
"탐정 백봉달, 빨간 모자를 찾아라!",정혜윤,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=41809&book_info_id=10,,,포함
청소년을 위한 세계 문학 에세이,허병두,수필,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=13981&book_info_id=1,,,포함
감정조절기 하트,김보름,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18515&book_info_id=8,,,포함
기울어진 집,톰 르웰린,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=60867&book_info_id=10,,,포함
편의점 가는 기분,박영란,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=60867&book_info_id=2,,,포함
"날아라, 뿔논병아리!",박수예,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18515&book_info_id=9,,,포함
소년소녀 무중력 비행 중,장주식,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=9452&book_info_id=10,,,포함
"달콤, 매콤",배봉기,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=59697&book_info_id=10,,,포함
탈무드 채근담,"마빈 토케이어, 홍자성/ 휘닉스 기획실",소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5013&book_info_id=9,,,포함
울지 말고 꽃을 보라,정호승,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5014&book_info_id=1,,,포함
다하우에서 온 편지,앤 부스/김선영,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=42851&book_info_id=1,,,포함
몽당연필도 주소가 있다,신현득,노래,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5017&book_info_id=10,,,포함
