제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
연극비평가의 일,니시도 고진 송선호,평론,2015,기관 등록 연도,000000094632,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평과 연극경험 : 엄현희 연극평론집,엄현희,평론,2021,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000828511,어젠다,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평에 관한 고찰 : 연극평론가가 된다는 것 - 세기 초의 의심과 희망들,마가레타 소렌슨 마정화,평론,2015,기관 등록 연도,000000094923,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍 : 제9회 대한민국연극제를 중심으로,,평론,2016,기관 등록 연도,000000121743,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 검은새 공연평,박준원,평론,2016,기관 등록 연도,000000121755,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 연기부문총평,박준원,평론,2016,기관 등록 연도,000000121750,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 연출부문총평 「선각자여」(이재현 작ㆍ정진수 연출),김대형,평론,2016,기관 등록 연도,000000121748,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 제1차 연극비평워크숍을 마치고,양혜숙,평론,2016,기관 등록 연도,000000121741,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 제3스튜디오 공연평,손효주,평론,2016,기관 등록 연도,000000121756,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 필부의 꿈 공연평,김대형,평론,2016,기관 등록 연도,000000121761,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평워크숍제 - 9회 대한민국연극제를 중심으로 : 하늘만큼 먼나라 공연평,김명주,평론,2016,기관 등록 연도,000000121762,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평의 미래,안치운,평론,2020,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000809880,푸른사상,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평의 반성. 연극비평의 영역 : 그 본질적 착각이 가져다 준 해독,정진수,평론,2015,기관 등록 연도,000000096984,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평의 반성. 연극평론가를 지망하는 K군에게 : 심판적 작업으로 오해하지않기를 바라며,이근삼,평론,2015,기관 등록 연도,000000096983,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평의 반성. 한국적 비평의 생리 : 그 구조적 특성을 벗긴다,김정옥,평론,2015,기관 등록 연도,000000096985,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평의 반성. 황폐한 학문적 기반 : 건전 비평 체계 확립을 위해서,김의경,평론,2015,기관 등록 연도,000000096986,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
연극비평의 방법론적 회의. <공연과 비평>,민병욱,평론,2015,기관 등록 연도,000000097611,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평집단 시선 : ""이미 선택된 좌석입니까?""",김미지,평론,2019,기관 등록 연도,000000168349,韓國演劇社 : 韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극비평집단 시선,『우리가 선택한 좌석입니다』",이진아,평론,2020,기관 등록 연도,000000173116,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극성과 일상성 : 일상과 '잔혹' <황색여관>, <반성>",김소연,평론,2015,기관 등록 연도,000000093854,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극성과 일상성 : 일상성, 한국연극의 약인가 독인가 - '일상성'을 다루는 몇 가지 범주",장성희,평론,2015,기관 등록 연도,000000093853,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극성과 일상성 : 일상성의 표현 미학과 사유성,김성희,평론,2015,기관 등록 연도,000000093852,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극성과 풍자성을 겸비한 극단 신기루만화경의 <설공찬전>,송민숙,평론,2015,기관 등록 연도,000000093554,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극성으로 부활된 고전의 화려한 외출  : 미하일 마르마리노스의 <아가멤논>과 오스카라스 코르슈노바스의 <로미오와 줄리엣>,최영주,평론,2015,기관 등록 연도,000000094402,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극실험실 혜화동1번지 <파노라마> : 부조리한 일상의 덪에 걸린 인간, 말 줄임표의 연출",신현숙,평론,2015,기관 등록 연도,000000103411,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극에 관한 공연, 연극 현실 그리고 그 '노래' : <비평가> <셰익스피어 소네트> <타즈매니아 타이거> '퍼포논문'",김방옥,평론,2018,기관 등록 연도,000000167433,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극예술과 영상예술의 진정한 화해는 가능할까 - <에이미>,심재민,평론,2015,기관 등록 연도,000000094186,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극은 생명에 대한 체험이다,리유밍허우,평론,2015,기관 등록 연도,000000095056,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극은 왜 외로운가 : (좌담) 우리시대의 공연비평 문화 (노이정, 강량원, 고연옥, 김선경, 김소연, 박홍진, 장성희)",노이정 강량원 고연옥 김선경 김소연 박홍진 장성희 김주연,평론,2015,기관 등록 연도,000000093465,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극은 왜 외로운가 : 비평 적대 시대의 비평,김윤철,평론,2015,기관 등록 연도,000000093462,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극은 왜 외로운가 : 인터넷은 관객비평의 바다인가,김소연,평론,2015,기관 등록 연도,000000093463,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극은 왜 외로운가 : 전문비평과 공연전문잡지의 현주소,이경미,평론,2015,기관 등록 연도,000000093464,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극은 자유롭다,리우밍호우,평론,2015,기관 등록 연도,000000095000,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극을 보고 지리산을 돌아가면서 남긴 글들 : 김길수 연극평론집 『우리시대 삶과 연극의 조망』/현대미학사,안치운,평론,2020,기관 등록 연도,000000176163,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
연극을 통해 사람에 대한 관심을 키운다 : 허순자 연극평론·서울예대,허순자 엄현희,평론,2020,기관 등록 연도,000000174616,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극의 근원 탐색과 아버지 찾기, 그러나 합쳐지지 않은 대나무 <만파식적>",김성희,평론,2015,기관 등록 연도,000000094379,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극의 길, 세상의 길 : 김명화 연극평론집",김명화,평론,2017,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000748586,연극과인간,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 마술을 이해한다는 것은,클라우디아 W. 해리스,평론,2015,기관 등록 연도,000000095036,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 본질적인 드라마성과 감동 : 극단제작극회 <자유를 위한 마지막 보고서>극단 산울림 <딸에게 보내는 편지>,김성희,평론,2015,기관 등록 연도,000000104579,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극의 사회적 기능2 - 서사의 부활 : '서사의 귀환', 그 의미는?",최영주,평론,2015,기관 등록 연도,000000093580,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 사회적 기능2 - 서사의 부활 : 예술과 책임,전정옥,평론,2015,기관 등록 연도,000000093581,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 사회적 기능2 -서사의 부활 : 현실 비판의 서사가 다시 돌아온다,김명화,평론,2015,기관 등록 연도,000000093579,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극의 시간, 비평의 공간",김동현 손증상 이수은 이승현 이정숙,평론,2019,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000785118,연극과인간,한국문화예술위원회 · 예술자료원-소장자료,포함
"연극의 옹호, 혹은 비평의 自意識 회복을 위해 : 김방옥의 「작은 배에 같이 타고…」에 대한 비판적 검토",신아영,평론,2020,기관 등록 연도,000000175955,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 이론 : 역사적·비평적 조망 : 그리스 시대에서 현재까지,"칼슨, 마빈",평론,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000506253,한국문화사,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 이론과 비평 . 1-4 = Theatrical Theory and Criticism,한국예술종합학교 . 연극원.  연극학과,평론,2017,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000753539,한국예술종합학교 연극원 연극학과,한국문화예술위원회 · 예술자료원-소장자료,포함
연극의 이론과 비평 2004 . 5,한국예술종합학교 연극원 연극학과,평론,2004,제목의 발행 연도,http://archive.arko.or.kr/search/detail/CATTOT000000160394,한국예술종합학교,한국문화예술위원회 · 예술자료원-소장자료,포함
