제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
나운규:전설로 남은 한국 영화의 풍운아,서경석,소설,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1022287&isbn=9788937886577&mid=b30201000000,아이세움,,중복 제외 (앞 순위 출처에 있음)
순수:조너선 프랜즌 장편소설,"프랜즌, 조너선",장편소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1028496&isbn=9791188810192&mid=b30201000000,은행나무,,포함
손바닥에 쓴 글씨,김옥,평론,2002,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1015487&isbn=8936441981&mid=b30201000000,창작과 비평사,,포함
한국소설문학상 01 내가 살았던 집,은희경,소설,2000,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1011340&isbn=8987038343&mid=b30201000000,개미,,포함
별이 차가운 밤이면:이병주 장편소설,이병주,장편소설,2010,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1022247&isbn=9788995904978&mid=b30201000000,문학의 숲,,포함
나는 외롭다고 아무나 만나지 않는다,양창순,소설,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1017282&isbn=9788998660116&mid=b30201000000,센추리원,,포함
홍보용 소설 : 김민정 소설집,김민정,단편소설,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1027071&isbn=9788939207561&mid=b30201000000,실천문학사,,포함
하늘과 바람과 별과 시,윤동주,시,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1023700&isbn=9788998046682&mid=b30201000000,소와다리,,중복 제외 (앞 순위 출처에 있음)
신현림의 미술관에서 읽은 시,신현림,시,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1023693&isbn=9788974837686&mid=b30201000000,서해문집,,포함
문학이 미래다 : 김욱동 문학 평론집,김욱동,평론,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029547&isbn=9791159052804&mid=b30201000000,소명출판,,포함
물류창고 : 이수명 시집,이수명,시,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029548&isbn=9788932031132&mid=b30201000000,문학과지성사,,포함
공터에서:김훈 장편소설,김훈,장편소설,2017,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1026154&isbn=9788965745877&mid=b30201000000,해냄,,포함
선셋 리미티드:코맥 매카시 소설,"매카시, 코맥",소설,2015,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1026150&isbn=9788954634250&mid=b30201000000,문학동네,,포함
"딸아, 외로울때는 시를 읽으렴",신현림,시,2014,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1017138&isbn=9788901121185&mid=b30201000000,걷는나무,,포함
