제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
나는 그곳에서 행복을 만납니다,"홍상만, 주우미, 박산하",기타,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=27659,,,포함
128호실의 원고,카티 보니당,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=96256,,,포함
모두 너와 이야기하고 싶어 해,은모든,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97132,,,포함
남은 생의 첫날,비르지니 그리말디,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=29713,,,포함
수영하는 여자들,리비 페이지,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=73181,,,포함
기쁨의 정원,조병준,수필,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=43351,,,포함
오늘 뭐 먹지?,권여선,수필,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=72199,,,포함
코타로와 나,곽지훈,기타,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=44604,,,포함
무심하게 산다,가쿠타 미쓰요,수필,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=52934,,,포함
우리의 남극 탐험기,김근우,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=57542,,,포함
내일의 빛,,소설,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=6734,,,포함
아마존 vs. 구글 미래 전쟁,강정우,동화,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=86404,,,중복 제외 (앞 순위 출처에 있음)
나의 페르시아어 수업,마리암 마지디,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=68766,,,중복 제외 (앞 순위 출처에 있음)
높고 푸른 사다리,공지영,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=3719,,,중복 제외 (앞 순위 출처에 있음)
보통 사람들의 전쟁,앤드루 양,동화,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=81979,,,중복 제외 (앞 순위 출처에 있음)
뉴런하우스,김정규,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=70775,,,포함
나를 대단하다고 하지 마라,해릴린 루소,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=20979,,,포함
"나는 안녕한가요? :그림, 책으로 나를 그리다",백두리,기타,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=37878,,,포함
엄마의 글쓰기,김정은,기타,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=57538,,,포함
비밀의 도서관,올리버 티얼,평론,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=57539,,,포함
불과 나의 자서전,김혜진,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=96257,,,포함
카구야 프로젝트,원샨,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97137,,,포함
소르본 철학 수업,전진,기타,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97924,,,포함
천 개의 파랑,천선란,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98003,,,중복 제외 (앞 순위 출처에 있음)
어두운 숲,니콜 크라우스,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97752,,,중복 제외 (앞 순위 출처에 있음)
줄리아나 도쿄,한정현,소설,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=83349,,,포함
보이지 않는 것들,로이 야콥센,기타,2021,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98501,,,중복 제외 (앞 순위 출처에 있음)
마쉬왕의 딸,카렌 디온느,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=63906,,,중복 제외 (앞 순위 출처에 있음)
혼자가 좋다,프란치스카 무리,기타,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=72215,,,포함
소중한 경험,김형경,수필,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=22204,,,포함
붉은 소파,조영주,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=39763,,,포함
우리 옆집에 영국남자가 산다,팀 알퍼,기타,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=54952,,,포함
마음 색칠 : 명화에 숨은 감정 읽기,지경화,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=19372,,,포함
시인 신경림,김근우,시,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=60915,,,포함
조르바를 춤추게 하는 글쓰기,,기타,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=4436,,,포함
책 읽기 달인,,소설,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=13634,,,포함
한복 입은 남자,이상훈,소설,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=14629,,,포함
배움의 발견,타라 웨스트오버,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=96259,,,포함
목소리를 삼킨 아이,파리누쉬 사니이,희곡,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98001,,,중복 제외 (앞 순위 출처에 있음)
머지않아 이별입니다,나가쓰키 아마네,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97926,,,포함
스노볼,박소영,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98014,,,포함
소설처럼 아름다운 클래식 이야기,이채훈,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97766,,,중복 제외 (앞 순위 출처에 있음)
어른답게 삽시다,이시형,기타,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=90054,,,포함
보라선 열차와 사라진 아이들,디파 아나파라,소설,2021,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98881,,,포함
추락하는 것은 복근이 없다,김해원,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=29717,,,포함
모서리의 탄생,신주희,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=68807,,,중복 제외 (앞 순위 출처에 있음)
인생 부자들,,기타,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=5575,,,포함
여행과 독서,잔홍즈,기타,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=56369,,,포함
작가의 창,마테오 페리콜리,평론,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=33705,,,포함
글쓰는 여자의 공간,타니아 슐리,평론,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=34893,,,포함
나의 요리사 마은숙,김설원,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=34894,,,포함
플라맹코 추는 남자,허태연,소설,2021,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98920,,,포함
모스크바의 신사,에이모 토울스,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=76853,,,포함
그래서 좀 쉬라고 호르몬에서 힘을 살짝 빼준 거야,"막심 레오, 요헨 구취",수필,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=81975,,,포함
아서 씨는 진짜 사랑입니다,엘리자베스 버그,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=79378,,,포함
정조처럼 소통하라,정창권,수필,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=74036,,,포함
지구별 생태사상가,황대권 외,기타,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98343,,,포함
내 정원의 로봇,데보라 인스톨,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=72211,,,포함
홀,편혜영,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=37897,,,중복 제외 (앞 순위 출처에 있음)
없는 사람,최정화,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=49628,,,포함
여유롭게 살 권리,강수돌,기타,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=31563,,,포함
