제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
셰익스피어의 여인들 1. 성과 열정의 주인공들,안나 제임슨,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=140,,,포함
연애의 기술,정순희 편역,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=141,,,포함
신기한 나라의 앨리스,루이스 캐럴,동화,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=147,,,포함
독일시와 가곡,편,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=261,,,포함
엔리케의 여정 ; 사선을 넘나드는 한 소년의 122일의 생생한 기록!,소냐 나자리오,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=224,,,포함
현대 프랑스 문학과 예술,"권은미, 송기정 외",기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=263,,,포함
언어 제국주의란 무엇인가 = Linguistic imperialism,미우라 노부타카 ; 가스야 게이스케 [공]엮음 ; 이연숙 ; 고영진 ; 조태린 [공],기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=35,,,포함
빌리 엘리어트,"멜빈 버지스, 리홀",소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=225,,,포함
모든것이 산산이 부서지다,치누아 아체베,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=385,,,포함
하악 하악 : 이외수의 생존법,이외수,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=397,,,포함
진짜 경쟁력은 국어 실력이다,홍성호,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=417,,,포함
어느 가슴엔들 시가 꽃피지 않으랴. 1-2,"정끝별, 문태준 해설 ; 권신아, 잠산",시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=425,,,포함
나니아 가는 길 : C.S. 루이스 판타지 세계의 모든 것,피터 J. 섀클,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=137,,,포함
매직 트리(The magic tree).1-3,에니드 블라이튼,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=157,,,포함
죽음을 그리다 : 세계 지성들의 빛나는 삶과 죽음,미셸 슈나이더,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=166,,,포함
독일비평사,김주연,평론,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=167,,,포함
최고의 고전번역을 찾아서,교수신문 엮음,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=195,,,포함
"괜찮아, 살아있으니까",박완서 등,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=440,,,포함
최인호의 인연,최인호,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=725,,,포함
(2011 제35회 이상문학상 작품집) 맨발로 글목을 돌다,공지영,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=797,,,포함
(역사가 새겨진) 우리말 이야기,정주리...,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=85,,,포함
나는 격류였다 : 고은산문집,고은,수필,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=757,,,포함
철수사용설명서,전석순,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=854,,,포함
아내가 결혼했다,박현욱,장편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=120,,,중복 제외 (앞 순위 출처에 있음)
마크 트웨인 자서전,마크 트웨인,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=109,,,포함
경상도 우리 탯말,윤명희 외,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=119,,,포함
포도밭 편지,류기봉,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=121,,,포함
야시,쓰네가와 고타로,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=123,,,포함
자기만의 방,버지니아 울프,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=110,,,포함
노숙 인생,지은이: 실뱅 테송 ;옮긴이: 백선희,단편소설,,발표 시기 미상,,,,포함
글쓰는 삶을 위한 일 년,수전 티베르기앵,단편소설,,발표 시기 미상,,,,포함
좋은 엄마 학교,제서민 챈,소설,,발표 시기 미상,,,,포함
공룡의 이동 경로 : 김화진 소설,김화진,소설,,발표 시기 미상,,,,포함
불타는 작품 : 윤고은 장편소설,윤고은,장편소설,,발표 시기 미상,,,,포함
"트라우마여, 안녕",로렌스 곤잘레스,동화,,발표 시기 미상,,,,포함
연수 : 장류진 소설집,장류진,단편소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
인생 박물관 : 김동식 소설,지은이: 김동식,소설,,발표 시기 미상,,,,포함
아쿠아리움이 문을 닫으면 : 셸비 반 펠트 장편소설,지은이: 셸비 반 펠트 ;옮긴이: 신솔잎,장편소설,,발표 시기 미상,,,,포함
미래과거시제 : 배명훈 소설,지은이: 배명훈,소설,,발표 시기 미상,,,,포함
아주 오랜만에 행복하다는 느낌 : 백수린 에세이,백수린,수필,,발표 시기 미상,,,,포함
유령의 마음으로,임선우,단편소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
잠자는 추억들 : 파트릭 모디아노 소설,파트릭 모디아노,소설,,발표 시기 미상,,,,포함
(식물 심고 그림책 읽으며) 아이들과 열두 달,이태용,동화,,발표 시기 미상,,,,포함
보이지 않는 것들,로이 야콥센,소설,,발표 시기 미상,,,,포함
"건축, 근대소설을 거닐다",김소연,소설,,발표 시기 미상,,,,포함
열다섯 마리 개,앙드레 알렉시스,소설,,발표 시기 미상,,,,포함
목소리를 삼킨 아이,파리누쉬 사니이,소설,,발표 시기 미상,,,,포함
어두운 숲,니콜 크라우스,소설,,발표 시기 미상,,,,포함
소설처럼 아름다운 클래식 이야기,이채훈,소설,,발표 시기 미상,,,,포함
물이 깊은 바다,지은이: 파비오 제노베시 ; 옮긴이: 최정윤,소설,,발표 시기 미상,,,,포함
산책자의 인문학,문갑식,소설,,발표 시기 미상,,,,포함
"러브 인 프렌치 : 미국 여자, 프랑스 남자의 두 언어 로맨스",로런 콜린스,소설,,발표 시기 미상,,,,포함
아마존 vs. 구글 미래 전쟁,강정우,동화,,발표 시기 미상,,,,포함
유품정리사,정명섭,소설,,발표 시기 미상,,,,포함
디어 에번 핸슨,"밸 에미치, 스티븐 레번슨, 벤지 파섹",소설,,발표 시기 미상,,,,포함
소년이로,편혜영,단편소설,,발표 시기 미상,,,,포함
보통 사람들의 전쟁 : 기계와의 일자리 전쟁에 직면한 우리의 선택,앤드루 양,동화,,발표 시기 미상,,,,포함
라이딩 인생 : 대치동으로 간 클레어할머니,고선미,장편소설,,발표 시기 미상,,,,포함
당신이 남긴 증오,앤지 토머스,동화,,발표 시기 미상,,,,포함
금척-한민족 최고의 비기,김종록,소설,,발표 시기 미상,,,,포함
나의 페르시아어 수업,마리암 마지디,소설,,발표 시기 미상,,,,포함
모서리의 탄생,신주희,단편소설,,발표 시기 미상,,,,포함
새벽까지 희미하게,정미경,단편소설,,발표 시기 미상,,,,포함
그 겨울의 일주일,메이브 빈치,소설,,발표 시기 미상,,,,포함
노란 잠수함 : 이재량 장편소설,지은이: 이재량,장편소설,,발표 시기 미상,,,,포함
마쉬왕의 딸,카렌 디온느,동화,,발표 시기 미상,,,,포함
서른의 반격,손원평,소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
언더그라운드 레일로드,콜슨 화이트헤드(Colson Whitehead),소설,,발표 시기 미상,,,,포함
시인 신경림,이경자,시,,발표 시기 미상,,,,포함
권영민 교수의 문학 콘서트,권영민,소설,,발표 시기 미상,,,,포함
당신의 완벽한 1년,샤를로테 루카스,소설,,발표 시기 미상,,,,포함
나에게 진실이라는 거짓을 맹세해,헬레네 플루드,소설,,발표 시기 미상,,,,포함
윈터 씨의 해빙기 : 슈테판 쿨만 장편소설,지은이: 슈테판 쿨만 ;옮긴이: 양혜영,장편소설,,발표 시기 미상,,,,포함
상냥한 폭력의 시대,정이현,단편소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
"살아있니, 황금두더지 : 사라져 가는 존재에 대한 기억",캐서린 런델,동화,,발표 시기 미상,,,,포함
한 사람의 노래가 온 거리에 노래를 : 창비시선 500 특별시선집,"신경림,강성은,고형렬,곽재구,김경미,김경후,김기택,김남주,김명수,김사인,김선우,김수영,김승희,김언희,김용택,김정환,김중일,김태정,김해자,김현,나",시,,발표 시기 미상,,,,포함
그 산 그 사람 그 개,펑젠밍,소설,,발표 시기 미상,,,,포함
"한국의 미학 : 서양, 중국, 일본과의 다름을 논하다",최광진,동화,,발표 시기 미상,,,,포함
연적,김호연,장편소설,,발표 시기 미상,,,,포함
3분 명화 에세이,이경남,수필,,발표 시기 미상,,,,포함
마음속의 그림책,이희경,동화,,발표 시기 미상,,,,포함
파랑이 진다,미야모토 테루,소설,,발표 시기 미상,,,,포함
(상식으로 꼭 알아야 할) 세계의 전설 동양편,아침나무,소설,,발표 시기 미상,,,,포함
벌들의 죽음,리사 오도넬,소설,,발표 시기 미상,,,,포함
"그건, 사랑이었네 : 한비야 에세이",한비야,수필,,발표 시기 미상,,,,포함
연인 심청,방민호,장편소설,,발표 시기 미상,,,,포함
세계문학여행 : 소설로 읽는 세계사,김한식,소설,,발표 시기 미상,,,,포함
통과비자,안나 제거스,소설,,발표 시기 미상,,,,포함
보다,김영하,소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
스테이트 오브 더 유니언,더,장편소설,,발표 시기 미상,,,,포함
아빠는 나무다,이태범,장편소설,,발표 시기 미상,,,,포함
뒤뜰에 골칫거리가 산다,황선미,동화,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
그 무렵 누군가,히가시노 게이고,장편소설,,발표 시기 미상,,,,포함
천국보다 낯선,이장욱,소설,,발표 시기 미상,,,,포함
겨울 일기,폴 오스터,소설,,발표 시기 미상,,,,포함
어릴 적 그 책,곽아람,동화,,발표 시기 미상,,,,포함
인생부자들,조우석,소설,,발표 시기 미상,,,,포함
높고 푸른 사다리,공지영,장편소설,,발표 시기 미상,,,,중복 제외 (앞 순위 출처에 있음)
세 번째 집,이경자,장편소설,,발표 시기 미상,,,,포함
